SALES_REGION,STATE,COUNTY,PDF_NAME,PAYOR,PLAN_TYPE,SNP_TYPE,PLAN_NAME
All,Arizona,Maricopa,H1822-001-000.pdf,SCAN Group,HMO,Non-SNP,SCAN Classic (HMO)
All,Arizona,Maricopa,H1822-002-000.pdf,SCAN Group,HMO,Chronic or Disabling Condition,SCAN Balance (HMO C-SNP)
All,Arizona,Maricopa,H1822-005-000.pdf,SCAN Group,HMO-POS,Institutional,SCAN Embrace (HMO-POS I-SNP)
All,Arizona,Maricopa,H1822-006-000.pdf,SCAN Group,HMO,Chronic or Disabling Condition,SCAN Strive (HMO C-SNP)
All,Arizona,Maricopa,H1822-007-000.pdf,SCAN Group,HMO,Non-SNP,SCAN MyChoice (HMO)
All,Arizona,Maricopa,H1822-008-000.pdf,SCAN Group,HMO-POS,Institutional,SCAN Embrace Together (HMO-POS I-SNP)
All,Arizona,Pima,H1822-001-000.pdf,SCAN Group,HMO,Non-SNP,SCAN Classic (HMO)
All,Arizona,Pima,H1822-002-000.pdf,SCAN Group,HMO,Chronic or Disabling Condition,SCAN Balance (HMO C-SNP)
All,Arizona,Pima,H1822-005-000.pdf,SCAN Group,HMO-POS,Institutional,SCAN Embrace (HMO-POS I-SNP)
All,Arizona,Pima,H1822-006-000.pdf,SCAN Group,HMO,Chronic or Disabling Condition,SCAN Strive (HMO C-SNP)
All,Arizona,Pima,H1822-007-000.pdf,SCAN Group,HMO,Non-SNP,SCAN MyChoice (HMO)
All,Arizona,Pima,H1822-008-000.pdf,SCAN Group,HMO-POS,Institutional,SCAN Embrace Together (HMO-POS I-SNP)
All,Arizona,Pinal,H1822-001-000.pdf,SCAN Group,HMO,Non-SNP,SCAN Classic (HMO)
All,Arizona,Pinal,H1822-002-000.pdf,SCAN Group,HMO,Chronic or Disabling Condition,SCAN Balance (HMO C-SNP)
All,Arizona,Pinal,H1822-007-000.pdf,SCAN Group,HMO,Non-SNP,SCAN MyChoice (HMO)
All,California,Alameda,H5425-075-000.pdf,SCAN Group,HMO,Non-SNP,SCAN Classic (HMO)
All,California,Alameda,H5425-076-000.pdf,SCAN Group,HMO,Chronic or Disabling Condition,SCAN Balance (HMO C-SNP)
All,California,Alameda,H5425-098-000.pdf,SCAN Group,HMO,Chronic or Disabling Condition,SCAN Strive (HMO C-SNP)
All,California,Alameda,H5425-110-000.pdf,SCAN Group,HMO,Non-SNP,SCAN MyChoice (HMO)
All,California,Alameda,H5425-124-000.pdf,SCAN Group,HMO,Non-SNP,SCAN Compass (HMO)
All,California,Fresno,H5425-098-000.pdf,SCAN Group,HMO,Chronic or Disabling Condition,SCAN Strive (HMO C-SNP)
All,California,Fresno,H5425-101-000.pdf,SCAN Group,HMO,Non-SNP,SCAN Classic (HMO)
All,California,Fresno,H5425-102-000.pdf,SCAN Group,HMO,Chronic or Disabling Condition,SCAN Balance (HMO C-SNP)
All,California,Fresno,H5425-119-000.pdf,SCAN Group,HMO,Non-SNP,SCAN MyChoice (HMO)
All,California,Kings,H5425-098-000.pdf,SCAN Group,HMO,Chronic or Disabling Condition,SCAN Strive (HMO C-SNP)
All,California,Kings,H5425-101-000.pdf,SCAN Group,HMO,Non-SNP,SCAN Classic (HMO)
All,California,Kings,H5425-102-000.pdf,SCAN Group,HMO,Chronic or Disabling Condition,SCAN Balance (HMO C-SNP)
All,California,Kings,H5425-119-000.pdf,SCAN Group,HMO,Non-SNP,SCAN MyChoice (HMO)
All,California,Los Angeles,H0976-001-000.pdf,SCAN Group,HMO,Dual-Eligible,SCAN Connections (HMO D-SNP)
All,California,Los Angeles,H0976-002-000.pdf,SCAN Group,HMO,Dual-Eligible,SCAN Connections at Home (HMO D-SNP)
All,California,Los Angeles,H5425-006-000.pdf,SCAN Group,HMO,Non-SNP,SCAN Classic (HMO)
All,California,Los Angeles,H5425-034-000.pdf,SCAN Group,HMO,Chronic or Disabling Condition,SCAN Balance (HMO C-SNP)
All,California,Los Angeles,H5425-065-000.pdf,SCAN Group,HMO,Non-SNP,SCAN Prime (HMO)
All,California,Los Angeles,H5425-084-000.pdf,SCAN Group,HMO,Non-SNP,SCAN Venture (HMO)
All,California,Los Angeles,H5425-086-000.pdf,SCAN Group,HMO,Institutional,SCAN Embrace (HMO I-SNP)
All,California,Los Angeles,H5425-092-000.pdf,SCAN Group,HMO,Non-SNP,SCAN Affirm partnered with Included LGBTQ+ Health (HMO)
All,California,Los Angeles,H5425-097-000.pdf,SCAN Group,HMO,Chronic or Disabling Condition,SCAN Strive (HMO C-SNP)
All,California,Los Angeles,H5425-100-000.pdf,SCAN Group,HMO,Non-SNP,SCAN Inspired by women for women (HMO)
All,California,Los Angeles,H5425-108-000.pdf,SCAN Group,HMO,Non-SNP,SCAN MyChoice (HMO)
